product_name,brand_name,category_name,list_price,units_sold,total_revenue,orders,inventory
Sun Bicycles Biscayne Tandem 7 - 2017,Sun Bicycles,Cruisers Bicycles,619.99,99.0,54869.01,21,352.0
Trek Conduit+ - 2018,Trek,Electric Bikes,2799.99,21.0,53423.79,1,88.0
Electra Amsterdam Original 3i Ladies' - 2017,Electra,Cruisers Bicycles,659.99,93.0,53379.87,21,276.0
Sun Bicycles Streamway 7 - 2017,Sun Bicycles,Comfort Bicycles,533.99,111.0,52912.95,22,275.0
Trek Domane SL Frameset - 2018,Trek,Road Bikes,6499.99,9.0,52649.91,0,105.0
Electra Townie Original 7D - 2017,Electra,Comfort Bicycles,489.99,117.0,52507.23,24,1075.0
Trek Domane SL 6 Disc - 2018,Trek,Road Bikes,3499.99,18.0,51974.82,2,100.0
Electra Townie 3i EQ (20-inch) - Boys' - 2017,Electra,Children Bicycles,489.99,117.0,51375.33,26,1540.0
Sun Bicycles Cruz 3 - 2017,Sun Bicycles,Comfort Bicycles,449.99,126.0,51109.74,24,1026.0
Electra Townie Commute Go! - 2018,Electra,Cruisers Bicycles,2999.99,18.0,49949.82,3,60.0
Trek Powerfly 5 Women's - 2018,Trek,Electric Bikes,3499.99,15.0,48614.85,0,51.0
Electra Townie Commute Go! - 2018,Electra,Electric Bikes,2999.99,18.0,47249.82,1,140.0
Sun Bicycles Atlas X-Type - 2017,Sun Bicycles,Cruisers Bicycles,416.99,123.0,46861.23,22,1768.0
Trek CrossRip+ - 2018,Trek,Electric Bikes,4499.99,12.0,46574.88,2,188.0
Trek Dual Sport+ - 2018,Trek,Electric Bikes,2799.99,18.0,46367.82,2,177.0
Trek Emonda ALR 6 - 2018,Trek,Road Bikes,2299.99,21.0,45332.79,2,270.0
Surly Ogre Frameset - 2017,Surly,Road Bikes,749.99,66.0,44729.34,16,714.0
Electra Cruiser Lux Fat Tire 1 Ladies - 2017,Electra,Cruisers Bicycles,599.99,81.0,44243.19,15,1134.0
Trek Domane SL 8 Disc - 2018,Trek,Road Bikes,5499.99,9.0,44219.91,2,117.0
Trek Fuel EX 8 29 - 2018,Trek,Mountain Bikes,3199.99,15.0,43295.85,2,216.0
Surly Wednesday Frameset - 2017,Surly,Mountain Bikes,469.99,105.0,43102.65,21,704.0
Electra Townie Go! 8i Ladies' - 2018,Electra,Cruisers Bicycles,2599.99,18.0,42431.82,4,360.0
Trek Remedy 7 27.5 - 2018,Trek,Mountain Bikes,2999.99,15.0,42209.85,3,248.0
